galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
NGC3917_rotmod,101.61509729949712,30478483372.300816,3491609316.559752,26986874055.741062,0.0,0.0,7.729064625801538
DDO161_rotmod,32.71240820428018,2978248034.3085856,2404136728.86676,574111305.4418261,0.0,0.0,0.23880143693509706
NGC7793_rotmod,79.31862994107921,9949333168.072176,1755023440.8144815,8194309727.257694,0.0,0.0,4.669059988996404
UGC11914_rotmod,280.8142289112815,151876058290.68277,1960731109.7279856,112668526371.27348,37246800809.68128,0.24524471617766685,57.46250763925713
UGC07089_rotmod,53.574745953847504,5893365419.914625,1484325354.079993,4409040065.834633,0.0,0.0,2.9704000229568415
KK98-251_rotmod,21.263628092058603,333380702.0041401,220580774.95072383,112799927.05341618,0.0,0.0,0.5113769641919831
F567-2_rotmod,34.319886360518865,3743449978.162645,1307954580.6570349,2435495397.505612,0.0,0.0,1.8620641981942299
UGC06667_rotmod,31.2656471036617,2143242878.8149488,1091964049.7767348,1051278829.0382136,0.0,0.0,0.9627412452389437
UGC07261_rotmod,48.411406967853324,3286009358.620932,1351401257.1737914,1934608101.44714,0.0,0.0,1.4315571272243885
UGC06786_rotmod,110.70923959143961,83340417073.97456,6676304230.433706,57764634377.92029,18899478465.620583,0.22677446464954742,8.652187255727826
DDO170_rotmod,31.382859712259755,2423287337.9378586,1777409713.1867368,645877624.7511218,0.0,0.0,0.3633813970742406
NGC3992_rotmod,182.3228147494536,266075071487.8356,21561134240.47665,244513937247.35892,0.0,0.0,11.340495101984647
NGC5055_rotmod,124.03798907790944,173796223539.60123,22112801232.334187,151683422307.26706,0.0,0.0,6.859529948899904
UGC06973_rotmod,195.83094715381424,58372292937.54288,1721294051.9255872,49328630855.54559,7322368030.071708,0.12544252866520914,28.65787562581905
UGC06818_rotmod,42.08661307763048,2669265764.58506,709560231.3416508,1959705533.2434084,0.0,0.0,2.76185931325091
UGC03546_rotmod,145.74502081216698,109647534260.71468,4718629003.8415365,77517025429.505,27411879827.36814,0.2499999659106741,16.427870334030658
F574-1_rotmod,55.920379424472685,10019647913.724644,2640083721.610425,7379564192.114219,0.0,0.0,2.795200823257513
NGC0100_rotmod,46.49011326914392,4646606367.194719,1046438932.9835668,3600167434.211153,0.0,0.0,3.440398976695652
NGC2998_rotmod,164.01718193338445,207154429431.01547,40794554804.38817,166359874626.62723,0.0,0.0,4.077992159108752
UGC07125_rotmod,47.78313839527101,8127357062.487583,5157428270.275246,2969928792.212336,0.0,0.0,0.5758545997293791
F563-V1_rotmod,27.33490503870766,1740342877.648008,744410186.1371679,995932691.51084,0.0,0.0,1.3378816008400585
NGC5371_rotmod,207.00571982227763,382682494823.46747,18028160506.746365,364654334316.7211,0.0,0.0,20.22692965154503
UGC07232_rotmod,24.25274914301118,143667700.14094242,31090050.34392469,112577649.7970177,0.0,0.0,3.6210185751280557
UGC05986_rotmod,59.828755730292514,6846594713.174494,1689633436.8303115,5156961276.344184,0.0,0.0,3.0521183849311413
NGC3109_rotmod,23.532298584245368,803822966.8936889,564984539.5649544,238838427.32873437,0.0,0.0,0.4227344477649656
NGC7814_rotmod,141.50423090255737,80025041231.25587,2327452715.939949,27167436319.19417,50530152196.12178,0.6314292553764522,11.672605047197496
NGC6946_rotmod,130.5776271967872,77277186459.82681,5434671420.768538,67731665730.4512,4110849308.607062,0.05319615654930865,12.462881467242964
UGC02023_rotmod,33.67441634839929,1507565266.2099352,333499727.43232137,1174065538.777614,0.0,0.0,3.520439275369041
NGC2903_rotmod,128.61296630820607,88495454799.06099,5526653067.495275,82968801731.56572,0.0,0.0,15.01248598714156
UGC04483_rotmod,14.044270390793438,57643304.29711805,42978186.90347882,14665117.393639218,0.0,0.0,0.341222337428389
UGC00891_rotmod,26.549280468343948,1228642793.8103776,759164060.7498682,469478733.06050926,0.0,0.0,0.6184153825680042
NGC2683_rotmod,117.11772614575746,83877992255.77765,1976472767.4722607,76502034102.10303,5399485386.20237,0.06437308811275755,38.70634362442675
ESO116-G012_rotmod,60.731447227770005,7532542627.742089,2609713606.1481504,4922829021.593938,0.0,0.0,1.886348375544498
NGC4217_rotmod,163.0494818716599,91792386230.471,4339253303.444408,18977698294.941456,68475434632.08513,0.7459816379558758,4.373494001808412
UGC02487_rotmod,185.03547427851308,546589439478.8077,33470723358.6602,406646188735.764,106472527384.38358,0.19479433683517355,12.149309842464117
UGCA442_rotmod,23.776418215490317,578902226.9133372,412913527.5716503,165988699.34168693,0.0,0.0,0.4019938516373357
F563-1_rotmod,40.65798661275001,8112817036.951536,5836532741.43328,2276284295.518252,0.0,0.0,0.3900062582291389
NGC4100_rotmod,120.21345725077322,69032394732.40137,5641107907.5163965,63391286824.88496,0.0,0.0,11.23738241922661
PGC51017_rotmod,21.935415334858284,347627120.9129413,170180224.47955886,177446896.4333825,0.0,0.0,1.0426998611386629
UGC07399_rotmod,40.36287657240989,2304468398.3003325,930396486.8569596,1374071911.4433725,0.0,0.0,1.4768670463118636
NGC2366_rotmod,29.96252598821966,1217551065.366738,965689895.0381207,251861170.32861736,0.0,0.0,0.26080957419428635
